player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
RacgiMan		1153	280	32	364	329	251	222	1287	24	2576	303	68	612	84	7	66	38	43	3	31	1	108	91	2	7575
Luka Doncic		980	280	32	263	388	321	287	1897	32	1943	231	62	612	106	12	90	56	65	10	42	5	91	81	5	7575
Eashy		660	200	-46	255	172	96	92	569	4	3147	237	55	432	29	8	30	20	25	2	13	0	102	93	3	5639
Dr. Hat		1156	280	-31	395	361	268	248	1727	18	3394	332	91	612	83	14	76	49	64	7	23	1	154	133	3	7579
Destar		722	280	-74	212	481	394	373	1901	18	1123	172	51	612	149	11	109	71	90	9	42	3	52	42	2	8039
Abe Lincoln		1091	280	-25	351	371	305	278	2050	24	2369	283	82	612	90	14	98	70	58	4	25	3	114	102	5	7657
pulpo		723	240	10	166	472	420	388	2732	31	486	132	56	540	136	28	109	73	102	9	33	3	37	29	1	6487
Messi	DPS	631	242	-71	172	364	302	292	2078	9	842	126	56	540	96	31	84	55	64	3	36	0	31	29	1	7100
Pandora		1165	279	56	363	217	119	107	485	10	5002	313	76	612	52	1	28	18	32	4	12	0	134	126	0	6583
aardvark	SSC	1078	280	56	238	427	394	342	2371	49	925	176	81	612	127	20	94	71	92	12	26	4	66	49	1	6583
bright		1341	280	56	259	377	370	310	3665	53	1091	187	89	612	86	56	96	58	83	19	37	6	62	48	1	6583
Doris		1189	280	3	424	247	151	139	996	10	4090	362	85	612	38	10	45	29	47	5	17	1	170	158	1	7211
Katy Kim		589	160	-9	136	260	225	204	1395	21	642	106	40	342	64	6	68	43	55	5	13	0	44	35	1	3948
ref		313	80	-6	119	85	37	34	261	3	1086	95	25	180	16	5	11	6	10	1	5	0	50	46	0	2071
sass		1042	280	-6	298	226	157	146	870	8	4427	243	79	612	48	7	49	29	39	3	13	0	113	102	1	7272
Djinni		1006	280	3	201	441	402	359	3194	38	698	139	79	612	95	40	119	81	101	12	43	4	41	36	0	7211
DragonBeast	LAA	1017	280	29	196	408	364	317	2827	42	964	136	78	612	85	31	101	64	71	11	33	5	36	25	4	6631
Matetricks		1094	280	29	224	406	385	334	2870	46	1142	172	84	612	106	37	89	59	96	15	28	2	69	55	1	6631
Nice Person		1078	280	-30	272	396	355	318	2357	33	1772	207	79	612	110	27	83	53	63	10	31	2	84	65	0	7168
Cheetosrule		1263	280	29	424	288	158	137	940	19	4223	338	97	612	49	9	44	30	29	5	12	2	180	153	2	6631
CB13		982	240	-25	334	195	125	118	667	6	3142	276	93	522	43	3	23	11	25	0	23	1	125	103	1	6018
Nice People		93	40	-19	20	72	49	44	232	4	127	10	8	90	21	1	17	10	5	1	2	0	4	3	0	908
Curry		1128	280	29	391	249	150	138	877	12	4797	328	56	612	56	9	40	25	37	6	10	1	161	140	1	6631
Misaki		691	200	-67	254	218	117	111	686	5	2836	219	50	450	46	8	33	22	21	0	14	2	105	95	4	5437
