"player","score","minutes","pm","tags","pops","grabs","drops","hold","captures","prevent","returns","pups","pupscomp","flaccids","longholds","handoff","goodhandoff","goregrab","coregrab","gohandoff","cohandoff","retinbase","quickret","saves","holdagainst","season","scpm","success_rate","tpm","poppm","droppm","gpm","hpm","cpm","ppm","rpm","pupm","kdr","limp","LHpm","handpm","GHpm","gorepm","corepm","copm","inbasepm","quickpm","savepm","HApm","cap_per","position"
"RacgiMan",1153,280,32,364,329,251,222,1287,24,2576,303,68,612,84,7,66,38,43,3,31,1,108,91,2,7575,"20",4.11785714285714,0.114285714285714,1.3,1.175,0.792857142857143,0.896428571428571,4.59642857142857,0.0857142857142857,9.2,1.08214285714286,0.242857142857143,1.1063829787234,0.3,0.025,0.235714285714286,0.135714285714286,0.153571428571429,0.0107142857142857,0.00357142857142857,0.385714285714286,0.325,0.00714285714285714,27.0535714285714,9.56175298804781,"Defense"
"Luka Doncic",980,280,32,263,388,321,287,1897,32,1943,231,62,612,106,12,90,56,65,10,42,5,91,81,5,7575,"20",3.5,0.114285714285714,0.939285714285714,1.38571428571429,1.025,1.14642857142857,6.775,0.114285714285714,6.93928571428571,0.825,0.221428571428571,0.677835051546392,0.378571428571429,0.0428571428571429,0.321428571428571,0.2,0.232142857142857,0.0357142857142857,0.0178571428571429,0.325,0.289285714285714,0.0178571428571429,27.0535714285714,9.96884735202492,"Defense"
"Eashy",660,200,-46,255,172,96,92,569,4,3147,237,55,432,29,8,30,20,25,2,13,0,102,93,3,5639,"20",3.3,-0.23,1.275,0.86,0.46,0.48,2.845,0.02,15.735,1.185,0.275,1.48255813953488,0.145,0.04,0.15,0.1,0.125,0.01,0,0.51,0.465,0.015,28.195,4.16666666666667,"Defense"
"Dr. Hat",1156,280,-31,395,361,268,248,1727,18,3394,332,91,612,83,14,76,49,64,7,23,1,154,133,3,7579,"20",4.12857142857143,-0.110714285714286,1.41071428571429,1.28928571428571,0.885714285714286,0.957142857142857,6.16785714285714,0.0642857142857143,12.1214285714286,1.18571428571429,0.325,1.09418282548476,0.296428571428571,0.05,0.271428571428571,0.175,0.228571428571429,0.025,0.00357142857142857,0.55,0.475,0.0107142857142857,27.0678571428571,6.71641791044776,"Defense"
"Destar",722,280,-74,212,481,394,373,1901,18,1123,172,51,612,149,11,109,71,90,9,42,3,52,42,2,8039,"20",2.57857142857143,-0.264285714285714,0.757142857142857,1.71785714285714,1.33214285714286,1.40714285714286,6.78928571428571,0.0642857142857143,4.01071428571429,0.614285714285714,0.182142857142857,0.440748440748441,0.532142857142857,0.0392857142857143,0.389285714285714,0.253571428571429,0.321428571428571,0.0321428571428571,0.0107142857142857,0.185714285714286,0.15,0.00714285714285714,28.7107142857143,4.56852791878173,"Offense"
"Abe Lincoln",1091,280,-25,351,371,305,278,2050,24,2369,283,82,612,90,14,98,70,58,4,25,3,114,102,5,7657,"20",3.89642857142857,-0.0892857142857143,1.25357142857143,1.325,0.992857142857143,1.08928571428571,7.32142857142857,0.0857142857142857,8.46071428571429,1.01071428571429,0.292857142857143,0.946091644204852,0.321428571428571,0.05,0.35,0.25,0.207142857142857,0.0142857142857143,0.0107142857142857,0.407142857142857,0.364285714285714,0.0178571428571429,27.3464285714286,7.86885245901639,"Defense"
"pulpo",723,240,10,166,472,420,388,2732,31,486,132,56,540,136,28,109,73,102,9,33,3,37,29,1,6487,"20",3.0125,0.0416666666666667,0.691666666666667,1.96666666666667,1.61666666666667,1.75,11.3833333333333,0.129166666666667,2.025,0.55,0.233333333333333,0.351694915254237,0.566666666666667,0.116666666666667,0.454166666666667,0.304166666666667,0.425,0.0375,0.0125,0.154166666666667,0.120833333333333,0.00416666666666667,27.0291666666667,7.38095238095238,"Offense"
"Messi",631,242,-71,172,364,302,292,2078,9,842,126,56,540,96,31,84,55,64,3,36,0,31,29,1,7100,"20",2.60743801652893,-0.293388429752066,0.710743801652893,1.50413223140496,1.20661157024793,1.24793388429752,8.58677685950413,0.0371900826446281,3.47933884297521,0.520661157024793,0.231404958677686,0.472527472527473,0.396694214876033,0.128099173553719,0.347107438016529,0.227272727272727,0.264462809917355,0.012396694214876,0,0.128099173553719,0.119834710743802,0.00413223140495868,29.3388429752066,2.98013245033113,"Offense"
"Pandora",1165,279,56,363,217,119,107,485,10,5002,313,76,612,52,1,28,18,32,4,12,0,134,126,0,6583,"20",4.17562724014337,0.200716845878136,1.3010752688172,0.777777777777778,0.383512544802867,0.426523297491039,1.73835125448029,0.03584229390681,17.9283154121864,1.12186379928315,0.272401433691756,1.67281105990783,0.186379928315412,0.003584229390681,0.100358422939068,0.0645161290322581,0.114695340501792,0.014336917562724,0,0.480286738351254,0.451612903225806,0,23.594982078853,8.40336134453782,"Defense"
"aardvark",1078,280,56,238,427,394,342,2371,49,925,176,81,612,127,20,94,71,92,12,26,4,66,49,1,6583,"20",3.85,0.2,0.85,1.525,1.22142857142857,1.40714285714286,8.46785714285714,0.175,3.30357142857143,0.628571428571429,0.289285714285714,0.557377049180328,0.453571428571429,0.0714285714285714,0.335714285714286,0.253571428571429,0.328571428571429,0.0428571428571429,0.0142857142857143,0.235714285714286,0.175,0.00357142857142857,23.5107142857143,12.4365482233503,"Offense"
"bright",1341,280,56,259,377,370,310,3665,53,1091,187,89,612,86,56,96,58,83,19,37,6,62,48,1,6583,"20",4.78928571428571,0.2,0.925,1.34642857142857,1.10714285714286,1.32142857142857,13.0892857142857,0.189285714285714,3.89642857142857,0.667857142857143,0.317857142857143,0.687002652519894,0.307142857142857,0.2,0.342857142857143,0.207142857142857,0.296428571428571,0.0678571428571429,0.0214285714285714,0.221428571428571,0.171428571428571,0.00357142857142857,23.5107142857143,14.3243243243243,"Offense"
"Doris",1189,280,3,424,247,151,139,996,10,4090,362,85,612,38,10,45,29,47,5,17,1,170,158,1,7211,"20",4.24642857142857,0.0107142857142857,1.51428571428571,0.882142857142857,0.496428571428571,0.539285714285714,3.55714285714286,0.0357142857142857,14.6071428571429,1.29285714285714,0.303571428571429,1.7165991902834,0.135714285714286,0.0357142857142857,0.160714285714286,0.103571428571429,0.167857142857143,0.0178571428571429,0.00357142857142857,0.607142857142857,0.564285714285714,0.00357142857142857,25.7535714285714,6.62251655629139,"Defense"
"Katy Kim",589,160,-9,136,260,225,204,1395,21,642,106,40,342,64,6,68,43,55,5,13,0,44,35,1,3948,"20",3.68125,-0.05625,0.85,1.625,1.275,1.40625,8.71875,0.13125,4.0125,0.6625,0.25,0.523076923076923,0.4,0.0375,0.425,0.26875,0.34375,0.03125,0,0.275,0.21875,0.00625,24.675,9.33333333333333,"Offense"
"sass",1042,280,-6,298,226,157,146,870,8,4427,243,79,612,48,7,49,29,39,3,13,0,113,102,1,7272,"20",3.72142857142857,-0.0214285714285714,1.06428571428571,0.807142857142857,0.521428571428571,0.560714285714286,3.10714285714286,0.0285714285714286,15.8107142857143,0.867857142857143,0.282142857142857,1.31858407079646,0.171428571428571,0.025,0.175,0.103571428571429,0.139285714285714,0.0107142857142857,0,0.403571428571429,0.364285714285714,0.00357142857142857,25.9714285714286,5.09554140127389,"Defense"
"Djinni",1006,280,3,201,441,402,359,3194,38,698,139,79,612,95,40,119,81,101,12,43,4,41,36,0,7211,"20",3.59285714285714,0.0107142857142857,0.717857142857143,1.575,1.28214285714286,1.43571428571429,11.4071428571429,0.135714285714286,2.49285714285714,0.496428571428571,0.282142857142857,0.45578231292517,0.339285714285714,0.142857142857143,0.425,0.289285714285714,0.360714285714286,0.0428571428571429,0.0142857142857143,0.146428571428571,0.128571428571429,0,25.7535714285714,9.45273631840796,"Offense"
"DragonBeast",1017,280,29,196,408,364,317,2827,42,964,136,78,612,85,31,101,64,71,11,33,5,36,25,4,6631,"20",3.63214285714286,0.103571428571429,0.7,1.45714285714286,1.13214285714286,1.3,10.0964285714286,0.15,3.44285714285714,0.485714285714286,0.278571428571429,0.480392156862745,0.303571428571429,0.110714285714286,0.360714285714286,0.228571428571429,0.253571428571429,0.0392857142857143,0.0178571428571429,0.128571428571429,0.0892857142857143,0.0142857142857143,23.6821428571429,11.5384615384615,"Offense"
"Matetricks",1094,280,29,224,406,385,334,2870,46,1142,172,84,612,106,37,89,59,96,15,28,2,69,55,1,6631,"20",3.90714285714286,0.103571428571429,0.8,1.45,1.19285714285714,1.375,10.25,0.164285714285714,4.07857142857143,0.614285714285714,0.3,0.551724137931034,0.378571428571429,0.132142857142857,0.317857142857143,0.210714285714286,0.342857142857143,0.0535714285714286,0.00714285714285714,0.246428571428571,0.196428571428571,0.00357142857142857,23.6821428571429,11.9480519480519,"Offense"
"Nice Person",1078,280,-30,272,396,355,318,2357,33,1772,207,79,612,110,27,83,53,63,10,31,2,84,65,0,7168,"20",3.85,-0.107142857142857,0.971428571428571,1.41428571428571,1.13571428571429,1.26785714285714,8.41785714285714,0.117857142857143,6.32857142857143,0.739285714285714,0.282142857142857,0.686868686868687,0.392857142857143,0.0964285714285714,0.296428571428571,0.189285714285714,0.225,0.0357142857142857,0.00714285714285714,0.3,0.232142857142857,0,25.6,9.29577464788732,"Offense"
"Cheetosrule",1263,280,29,424,288,158,137,940,19,4223,338,97,612,49,9,44,30,29,5,12,2,180,153,2,6631,"20",4.51071428571429,0.103571428571429,1.51428571428571,1.02857142857143,0.489285714285714,0.564285714285714,3.35714285714286,0.0678571428571429,15.0821428571429,1.20714285714286,0.346428571428571,1.47222222222222,0.175,0.0321428571428571,0.157142857142857,0.107142857142857,0.103571428571429,0.0178571428571429,0.00714285714285714,0.642857142857143,0.546428571428571,0.00714285714285714,23.6821428571429,12.0253164556962,"Defense"
"CB13",982,240,-25,334,195,125,118,667,6,3142,276,93,522,43,3,23,11,25,0,23,1,125,103,1,6018,"20",4.09166666666667,-0.104166666666667,1.39166666666667,0.8125,0.491666666666667,0.520833333333333,2.77916666666667,0.025,13.0916666666667,1.15,0.3875,1.71282051282051,0.179166666666667,0.0125,0.0958333333333333,0.0458333333333333,0.104166666666667,0,0.00416666666666667,0.520833333333333,0.429166666666667,0.00416666666666667,25.075,4.8,"Defense"
"Curry",1128,280,29,391,249,150,138,877,12,4797,328,56,612,56,9,40,25,37,6,10,1,161,140,1,6631,"20",4.02857142857143,0.103571428571429,1.39642857142857,0.889285714285714,0.492857142857143,0.535714285714286,3.13214285714286,0.0428571428571429,17.1321428571429,1.17142857142857,0.2,1.57028112449799,0.2,0.0321428571428571,0.142857142857143,0.0892857142857143,0.132142857142857,0.0214285714285714,0.00357142857142857,0.575,0.5,0.00357142857142857,23.6821428571429,8,"Defense"
"Misaki",691,200,-67,254,218,117,111,686,5,2836,219,50,450,46,8,33,22,21,0,14,2,105,95,4,5437,"20",3.455,-0.335,1.27,1.09,0.555,0.585,3.43,0.025,14.18,1.095,0.25,1.1651376146789,0.23,0.04,0.165,0.11,0.105,0,0.01,0.525,0.475,0.02,27.185,4.27350427350427,"Defense"
"BALLDON'TLIE",1317,280,23,423,232,168,150,1193,16,4103,343,127,612,51,12,47,29,27,6,19,1,154,140,0,7198,"20",4.70357142857143,0.0821428571428571,1.51071428571429,0.828571428571429,0.535714285714286,0.6,4.26071428571429,0.0571428571428571,14.6535714285714,1.225,0.453571428571429,1.82327586206897,0.182142857142857,0.0428571428571429,0.167857142857143,0.103571428571429,0.0964285714285714,0.0214285714285714,0.00357142857142857,0.55,0.5,0,25.7071428571429,9.52380952380952,"Defense"
"Epiphany",1146,280,35,359,239,120,109,824,11,3676,286,91,612,44,8,34,23,30,6,11,1,134,103,0,7543,"20",4.09285714285714,0.125,1.28214285714286,0.853571428571429,0.389285714285714,0.428571428571429,2.94285714285714,0.0392857142857143,13.1285714285714,1.02142857142857,0.325,1.5020920502092,0.157142857142857,0.0285714285714286,0.121428571428571,0.0821428571428571,0.107142857142857,0.0214285714285714,0.00357142857142857,0.478571428571429,0.367857142857143,0,26.9392857142857,9.16666666666667,"Defense"
"badger",1279,280,35,419,304,247,223,1535,18,2834,334,98,612,88,18,60,40,37,5,22,0,139,121,5,7543,"20",4.56785714285714,0.125,1.49642857142857,1.08571428571429,0.796428571428571,0.882142857142857,5.48214285714286,0.0642857142857143,10.1214285714286,1.19285714285714,0.35,1.37828947368421,0.314285714285714,0.0642857142857143,0.214285714285714,0.142857142857143,0.132142857142857,0.0178571428571429,0,0.496428571428571,0.432142857142857,0.0178571428571429,26.9392857142857,7.28744939271255,"Defense"
