"player","score","minutes","pm","tags","pops","grabs","drops","hold","captures","prevent","returns","pups","pupscomp","flaccids","longholds","handoff","goodhandoff","goregrab","coregrab","gohandoff","cohandoff","retinbase","quickret","saves","holdagainst","season","scpm","success_rate","tpm","poppm","droppm","gpm","hpm","cpm","ppm","rpm","pupm","kdr","limp","LHpm","handpm","GHpm","gorepm","corepm","copm","inbasepm","quickpm","savepm","HApm","cap_per","position"
"RacgiMan",1153,280,32,364,329,251,222,1287,24,2576,303,68,612,84,7,66,38,43,3,31,1,108,91,2,7575,"20",4.11785714285714,0.114285714285714,1.3,1.175,0.792857142857143,0.896428571428571,4.59642857142857,0.0857142857142857,9.2,1.08214285714286,0.242857142857143,1.1063829787234,0.3,0.025,0.235714285714286,0.135714285714286,0.153571428571429,0.0107142857142857,0.00357142857142857,0.385714285714286,0.325,0.00714285714285714,27.0535714285714,9.56175298804781,"Defense"
"Luka Doncic",980,280,32,263,388,321,287,1897,32,1943,231,62,612,106,12,90,56,65,10,42,5,91,81,5,7575,"20",3.5,0.114285714285714,0.939285714285714,1.38571428571429,1.025,1.14642857142857,6.775,0.114285714285714,6.93928571428571,0.825,0.221428571428571,0.677835051546392,0.378571428571429,0.0428571428571429,0.321428571428571,0.2,0.232142857142857,0.0357142857142857,0.0178571428571429,0.325,0.289285714285714,0.0178571428571429,27.0535714285714,9.96884735202492,"Defense"
"Eashy",660,200,-46,255,172,96,92,569,4,3147,237,55,432,29,8,30,20,25,2,13,0,102,93,3,5639,"20",3.3,-0.23,1.275,0.86,0.46,0.48,2.845,0.02,15.735,1.185,0.275,1.48255813953488,0.145,0.04,0.15,0.1,0.125,0.01,0,0.51,0.465,0.015,28.195,4.16666666666667,"Defense"
"Dr. Hat",1156,280,-31,395,361,268,248,1727,18,3394,332,91,612,83,14,76,49,64,7,23,1,154,133,3,7579,"20",4.12857142857143,-0.110714285714286,1.41071428571429,1.28928571428571,0.885714285714286,0.957142857142857,6.16785714285714,0.0642857142857143,12.1214285714286,1.18571428571429,0.325,1.09418282548476,0.296428571428571,0.05,0.271428571428571,0.175,0.228571428571429,0.025,0.00357142857142857,0.55,0.475,0.0107142857142857,27.0678571428571,6.71641791044776,"Defense"
"Abe Lincoln",1091,280,-25,351,371,305,278,2050,24,2369,283,82,612,90,14,98,70,58,4,25,3,114,102,5,7657,"20",3.89642857142857,-0.0892857142857143,1.25357142857143,1.325,0.992857142857143,1.08928571428571,7.32142857142857,0.0857142857142857,8.46071428571429,1.01071428571429,0.292857142857143,0.946091644204852,0.321428571428571,0.05,0.35,0.25,0.207142857142857,0.0142857142857143,0.0107142857142857,0.407142857142857,0.364285714285714,0.0178571428571429,27.3464285714286,7.86885245901639,"Defense"
"Pandora",1165,279,56,363,217,119,107,485,10,5002,313,76,612,52,1,28,18,32,4,12,0,134,126,0,6583,"20",4.17562724014337,0.200716845878136,1.3010752688172,0.777777777777778,0.383512544802867,0.426523297491039,1.73835125448029,0.03584229390681,17.9283154121864,1.12186379928315,0.272401433691756,1.67281105990783,0.186379928315412,0.003584229390681,0.100358422939068,0.0645161290322581,0.114695340501792,0.014336917562724,0,0.480286738351254,0.451612903225806,0,23.594982078853,8.40336134453782,"Defense"
"Doris",1189,280,3,424,247,151,139,996,10,4090,362,85,612,38,10,45,29,47,5,17,1,170,158,1,7211,"20",4.24642857142857,0.0107142857142857,1.51428571428571,0.882142857142857,0.496428571428571,0.539285714285714,3.55714285714286,0.0357142857142857,14.6071428571429,1.29285714285714,0.303571428571429,1.7165991902834,0.135714285714286,0.0357142857142857,0.160714285714286,0.103571428571429,0.167857142857143,0.0178571428571429,0.00357142857142857,0.607142857142857,0.564285714285714,0.00357142857142857,25.7535714285714,6.62251655629139,"Defense"
"sass",1042,280,-6,298,226,157,146,870,8,4427,243,79,612,48,7,49,29,39,3,13,0,113,102,1,7272,"20",3.72142857142857,-0.0214285714285714,1.06428571428571,0.807142857142857,0.521428571428571,0.560714285714286,3.10714285714286,0.0285714285714286,15.8107142857143,0.867857142857143,0.282142857142857,1.31858407079646,0.171428571428571,0.025,0.175,0.103571428571429,0.139285714285714,0.0107142857142857,0,0.403571428571429,0.364285714285714,0.00357142857142857,25.9714285714286,5.09554140127389,"Defense"
"Cheetosrule",1263,280,29,424,288,158,137,940,19,4223,338,97,612,49,9,44,30,29,5,12,2,180,153,2,6631,"20",4.51071428571429,0.103571428571429,1.51428571428571,1.02857142857143,0.489285714285714,0.564285714285714,3.35714285714286,0.0678571428571429,15.0821428571429,1.20714285714286,0.346428571428571,1.47222222222222,0.175,0.0321428571428571,0.157142857142857,0.107142857142857,0.103571428571429,0.0178571428571429,0.00714285714285714,0.642857142857143,0.546428571428571,0.00714285714285714,23.6821428571429,12.0253164556962,"Defense"
"CB13",982,240,-25,334,195,125,118,667,6,3142,276,93,522,43,3,23,11,25,0,23,1,125,103,1,6018,"20",4.09166666666667,-0.104166666666667,1.39166666666667,0.8125,0.491666666666667,0.520833333333333,2.77916666666667,0.025,13.0916666666667,1.15,0.3875,1.71282051282051,0.179166666666667,0.0125,0.0958333333333333,0.0458333333333333,0.104166666666667,0,0.00416666666666667,0.520833333333333,0.429166666666667,0.00416666666666667,25.075,4.8,"Defense"
"Curry",1128,280,29,391,249,150,138,877,12,4797,328,56,612,56,9,40,25,37,6,10,1,161,140,1,6631,"20",4.02857142857143,0.103571428571429,1.39642857142857,0.889285714285714,0.492857142857143,0.535714285714286,3.13214285714286,0.0428571428571429,17.1321428571429,1.17142857142857,0.2,1.57028112449799,0.2,0.0321428571428571,0.142857142857143,0.0892857142857143,0.132142857142857,0.0214285714285714,0.00357142857142857,0.575,0.5,0.00357142857142857,23.6821428571429,8,"Defense"
"Misaki",691,200,-67,254,218,117,111,686,5,2836,219,50,450,46,8,33,22,21,0,14,2,105,95,4,5437,"20",3.455,-0.335,1.27,1.09,0.555,0.585,3.43,0.025,14.18,1.095,0.25,1.1651376146789,0.23,0.04,0.165,0.11,0.105,0,0.01,0.525,0.475,0.02,27.185,4.27350427350427,"Defense"
"BALLDON'TLIE",1317,280,23,423,232,168,150,1193,16,4103,343,127,612,51,12,47,29,27,6,19,1,154,140,0,7198,"20",4.70357142857143,0.0821428571428571,1.51071428571429,0.828571428571429,0.535714285714286,0.6,4.26071428571429,0.0571428571428571,14.6535714285714,1.225,0.453571428571429,1.82327586206897,0.182142857142857,0.0428571428571429,0.167857142857143,0.103571428571429,0.0964285714285714,0.0214285714285714,0.00357142857142857,0.55,0.5,0,25.7071428571429,9.52380952380952,"Defense"
"Epiphany",1146,280,35,359,239,120,109,824,11,3676,286,91,612,44,8,34,23,30,6,11,1,134,103,0,7543,"20",4.09285714285714,0.125,1.28214285714286,0.853571428571429,0.389285714285714,0.428571428571429,2.94285714285714,0.0392857142857143,13.1285714285714,1.02142857142857,0.325,1.5020920502092,0.157142857142857,0.0285714285714286,0.121428571428571,0.0821428571428571,0.107142857142857,0.0214285714285714,0.00357142857142857,0.478571428571429,0.367857142857143,0,26.9392857142857,9.16666666666667,"Defense"
"badger",1279,280,35,419,304,247,223,1535,18,2834,334,98,612,88,18,60,40,37,5,22,0,139,121,5,7543,"20",4.56785714285714,0.125,1.49642857142857,1.08571428571429,0.796428571428571,0.882142857142857,5.48214285714286,0.0642857142857143,10.1214285714286,1.19285714285714,0.35,1.37828947368421,0.314285714285714,0.0642857142857143,0.214285714285714,0.142857142857143,0.132142857142857,0.0178571428571429,0,0.496428571428571,0.432142857142857,0.0178571428571429,26.9392857142857,7.28744939271255,"Defense"
"YISS",1036,280,23,379,230,122,112,531,8,4418,336,48,612,46,0,25,20,41,2,9,1,159,132,4,7198,"20",3.7,0.0821428571428571,1.35357142857143,0.821428571428571,0.4,0.435714285714286,1.89642857142857,0.0285714285714286,15.7785714285714,1.2,0.171428571428571,1.64782608695652,0.164285714285714,0,0.0892857142857143,0.0714285714285714,0.146428571428571,0.00714285714285714,0.00357142857142857,0.567857142857143,0.471428571428571,0.0142857142857143,25.7071428571429,6.55737704918033,"Defense"
"grumpy",969,240,12,296,164,94,81,584,11,4066,259,48,522,22,1,25,17,31,6,8,1,124,119,2,6163,"20",4.0375,0.05,1.23333333333333,0.683333333333333,0.3375,0.391666666666667,2.43333333333333,0.0458333333333333,16.9416666666667,1.07916666666667,0.2,1.80487804878049,0.0916666666666667,0.00416666666666667,0.104166666666667,0.0708333333333333,0.129166666666667,0.025,0.00416666666666667,0.516666666666667,0.495833333333333,0.00833333333333333,25.6791666666667,11.7021276595745,"Defense"
"Armbranch",1119,280,-44,393,234,112,104,524,7,4088,339,87,612,42,1,41,29,35,2,14,2,160,145,0,7843,"20",3.99642857142857,-0.157142857142857,1.40357142857143,0.835714285714286,0.371428571428571,0.4,1.87142857142857,0.025,14.6,1.21071428571429,0.310714285714286,1.67948717948718,0.15,0.00357142857142857,0.146428571428571,0.103571428571429,0.125,0.00714285714285714,0.00714285714285714,0.571428571428571,0.517857142857143,0,28.0107142857143,6.25,"Defense"
"PingPrisoner",827,200,-8,319,58,10,9,48,1,3845,281,49,432,3,0,2,1,0,0,1,1,145,143,1,4914,"20",4.135,-0.04,1.595,0.29,0.045,0.05,0.24,0.005,19.225,1.405,0.245,5.5,0.015,0,0.01,0.005,0,0,0.005,0.725,0.715,0.005,24.57,10,"Defense"
"Bamboozler",977,280,-44,309,341,268,252,1585,12,2819,262,80,612,107,19,80,47,61,3,27,1,82,69,6,7843,"20",3.48928571428571,-0.157142857142857,1.10357142857143,1.21785714285714,0.9,0.957142857142857,5.66071428571429,0.0428571428571429,10.0678571428571,0.935714285714286,0.285714285714286,0.906158357771261,0.382142857142857,0.0678571428571429,0.285714285714286,0.167857142857143,0.217857142857143,0.0107142857142857,0.00357142857142857,0.292857142857143,0.246428571428571,0.0214285714285714,28.0107142857143,4.47761194029851,"Defense"
"GeT_RiGhT",720,200,-7,234,159,90,84,451,4,3355,198,51,450,32,3,31,18,23,0,11,1,80,68,3,5059,"20",3.6,-0.035,1.17,0.795,0.42,0.45,2.255,0.02,16.775,0.99,0.255,1.47169811320755,0.16,0.015,0.155,0.09,0.115,0,0.005,0.4,0.34,0.015,25.295,4.44444444444444,"Defense"
"Wanye",1018,236,51,316,181,116,104,746,10,4235,272,70,522,31,6,33,23,37,2,6,0,144,123,1,5571,"20",4.3135593220339,0.216101694915254,1.33898305084746,0.766949152542373,0.440677966101695,0.491525423728814,3.16101694915254,0.0423728813559322,17.9449152542373,1.15254237288136,0.296610169491525,1.74585635359116,0.13135593220339,0.0254237288135593,0.139830508474576,0.0974576271186441,0.156779661016949,0.00847457627118644,0,0.610169491525424,0.521186440677966,0.00423728813559322,23.6059322033898,8.62068965517241,"Defense"
"Gryff",1205,280,-11,390,248,168,147,983,16,4011,334,76,576,58,8,62,37,35,4,14,0,143,141,4,7295,"21",4.30357142857143,-0.0392857142857143,1.39285714285714,0.885714285714286,0.525,0.6,3.51071428571429,0.0571428571428571,14.325,1.19285714285714,0.271428571428571,1.57258064516129,0.207142857142857,0.0285714285714286,0.221428571428571,0.132142857142857,0.125,0.0142857142857143,0,0.510714285714286,0.503571428571429,0.0142857142857143,26.0535714285714,9.52380952380952,"Defense"
"Curry",1065,280,8,401,260,156,141,890,11,4211,356,56,576,54,6,46,28,34,2,23,0,173,145,0,7165,"21",3.80357142857143,0.0285714285714286,1.43214285714286,0.928571428571429,0.503571428571429,0.557142857142857,3.17857142857143,0.0392857142857143,15.0392857142857,1.27142857142857,0.2,1.54230769230769,0.192857142857143,0.0214285714285714,0.164285714285714,0.1,0.121428571428571,0.00714285714285714,0,0.617857142857143,0.517857142857143,0,25.5892857142857,7.05128205128205,"Defense"
"ccga4",999,280,-14,284,287,217,199,1406,15,3035,235,62,576,71,12,76,45,50,4,25,0,85,85,3,7548,"21",3.56785714285714,-0.05,1.01428571428571,1.025,0.710714285714286,0.775,5.02142857142857,0.0535714285714286,10.8392857142857,0.839285714285714,0.221428571428571,0.989547038327526,0.253571428571429,0.0428571428571429,0.271428571428571,0.160714285714286,0.178571428571429,0.0142857142857143,0,0.303571428571429,0.303571428571429,0.0107142857142857,26.9571428571429,6.91244239631336,"Defense"
