"player","score","minutes","pm","tags","pops","grabs","drops","hold","captures","prevent","returns","pups","pupscomp","flaccids","longholds","handoff","goodhandoff","goregrab","coregrab","gohandoff","cohandoff","retinbase","quickret","saves","holdagainst","season","scpm","success_rate","tpm","poppm","droppm","gpm","hpm","cpm","ppm","rpm","pupm","kdr","limp","LHpm","handpm","GHpm","gorepm","corepm","copm","inbasepm","quickpm","savepm","HApm","cap_per","position"
"Destar",722,280,-74,212,481,394,373,1901,18,1123,172,51,612,149,11,109,71,90,9,42,3,52,42,2,8039,"20",2.57857142857143,-0.264285714285714,0.757142857142857,1.71785714285714,1.33214285714286,1.40714285714286,6.78928571428571,0.0642857142857143,4.01071428571429,0.614285714285714,0.182142857142857,0.440748440748441,0.532142857142857,0.0392857142857143,0.389285714285714,0.253571428571429,0.321428571428571,0.0321428571428571,0.0107142857142857,0.185714285714286,0.15,0.00714285714285714,28.7107142857143,4.56852791878173,"Offense"
"pulpo",723,240,10,166,472,420,388,2732,31,486,132,56,540,136,28,109,73,102,9,33,3,37,29,1,6487,"20",3.0125,0.0416666666666667,0.691666666666667,1.96666666666667,1.61666666666667,1.75,11.3833333333333,0.129166666666667,2.025,0.55,0.233333333333333,0.351694915254237,0.566666666666667,0.116666666666667,0.454166666666667,0.304166666666667,0.425,0.0375,0.0125,0.154166666666667,0.120833333333333,0.00416666666666667,27.0291666666667,7.38095238095238,"Offense"
"Messi",631,242,-71,172,364,302,292,2078,9,842,126,56,540,96,31,84,55,64,3,36,0,31,29,1,7100,"20",2.60743801652893,-0.293388429752066,0.710743801652893,1.50413223140496,1.20661157024793,1.24793388429752,8.58677685950413,0.0371900826446281,3.47933884297521,0.520661157024793,0.231404958677686,0.472527472527473,0.396694214876033,0.128099173553719,0.347107438016529,0.227272727272727,0.264462809917355,0.012396694214876,0,0.128099173553719,0.119834710743802,0.00413223140495868,29.3388429752066,2.98013245033113,"Offense"
"aardvark",1078,280,56,238,427,394,342,2371,49,925,176,81,612,127,20,94,71,92,12,26,4,66,49,1,6583,"20",3.85,0.2,0.85,1.525,1.22142857142857,1.40714285714286,8.46785714285714,0.175,3.30357142857143,0.628571428571429,0.289285714285714,0.557377049180328,0.453571428571429,0.0714285714285714,0.335714285714286,0.253571428571429,0.328571428571429,0.0428571428571429,0.0142857142857143,0.235714285714286,0.175,0.00357142857142857,23.5107142857143,12.4365482233503,"Offense"
"bright",1341,280,56,259,377,370,310,3665,53,1091,187,89,612,86,56,96,58,83,19,37,6,62,48,1,6583,"20",4.78928571428571,0.2,0.925,1.34642857142857,1.10714285714286,1.32142857142857,13.0892857142857,0.189285714285714,3.89642857142857,0.667857142857143,0.317857142857143,0.687002652519894,0.307142857142857,0.2,0.342857142857143,0.207142857142857,0.296428571428571,0.0678571428571429,0.0214285714285714,0.221428571428571,0.171428571428571,0.00357142857142857,23.5107142857143,14.3243243243243,"Offense"
"Katy Kim",589,160,-9,136,260,225,204,1395,21,642,106,40,342,64,6,68,43,55,5,13,0,44,35,1,3948,"20",3.68125,-0.05625,0.85,1.625,1.275,1.40625,8.71875,0.13125,4.0125,0.6625,0.25,0.523076923076923,0.4,0.0375,0.425,0.26875,0.34375,0.03125,0,0.275,0.21875,0.00625,24.675,9.33333333333333,"Offense"
"Djinni",1006,280,3,201,441,402,359,3194,38,698,139,79,612,95,40,119,81,101,12,43,4,41,36,0,7211,"20",3.59285714285714,0.0107142857142857,0.717857142857143,1.575,1.28214285714286,1.43571428571429,11.4071428571429,0.135714285714286,2.49285714285714,0.496428571428571,0.282142857142857,0.45578231292517,0.339285714285714,0.142857142857143,0.425,0.289285714285714,0.360714285714286,0.0428571428571429,0.0142857142857143,0.146428571428571,0.128571428571429,0,25.7535714285714,9.45273631840796,"Offense"
"DragonBeast",1017,280,29,196,408,364,317,2827,42,964,136,78,612,85,31,101,64,71,11,33,5,36,25,4,6631,"20",3.63214285714286,0.103571428571429,0.7,1.45714285714286,1.13214285714286,1.3,10.0964285714286,0.15,3.44285714285714,0.485714285714286,0.278571428571429,0.480392156862745,0.303571428571429,0.110714285714286,0.360714285714286,0.228571428571429,0.253571428571429,0.0392857142857143,0.0178571428571429,0.128571428571429,0.0892857142857143,0.0142857142857143,23.6821428571429,11.5384615384615,"Offense"
"Matetricks",1094,280,29,224,406,385,334,2870,46,1142,172,84,612,106,37,89,59,96,15,28,2,69,55,1,6631,"20",3.90714285714286,0.103571428571429,0.8,1.45,1.19285714285714,1.375,10.25,0.164285714285714,4.07857142857143,0.614285714285714,0.3,0.551724137931034,0.378571428571429,0.132142857142857,0.317857142857143,0.210714285714286,0.342857142857143,0.0535714285714286,0.00714285714285714,0.246428571428571,0.196428571428571,0.00357142857142857,23.6821428571429,11.9480519480519,"Offense"
"Nice Person",1078,280,-30,272,396,355,318,2357,33,1772,207,79,612,110,27,83,53,63,10,31,2,84,65,0,7168,"20",3.85,-0.107142857142857,0.971428571428571,1.41428571428571,1.13571428571429,1.26785714285714,8.41785714285714,0.117857142857143,6.32857142857143,0.739285714285714,0.282142857142857,0.686868686868687,0.392857142857143,0.0964285714285714,0.296428571428571,0.189285714285714,0.225,0.0357142857142857,0.00714285714285714,0.3,0.232142857142857,0,25.6,9.29577464788732,"Offense"
"TY",1017,280,23,238,393,347,303,2713,41,668,187,70,612,109,32,97,67,79,10,29,3,45,43,6,7198,"20",3.63214285714286,0.0821428571428571,0.85,1.40357142857143,1.08214285714286,1.23928571428571,9.68928571428571,0.146428571428571,2.38571428571429,0.667857142857143,0.25,0.60559796437659,0.389285714285714,0.114285714285714,0.346428571428571,0.239285714285714,0.282142857142857,0.0357142857142857,0.0107142857142857,0.160714285714286,0.153571428571429,0.0214285714285714,25.7071428571429,11.8155619596542,"Offense"
"DT",985,271,19,230,418,379,334,2670,40,778,165,86,630,113,24,98,74,93,17,32,2,52,41,2,7570,"20",3.63468634686347,0.0701107011070111,0.848708487084871,1.54243542435424,1.23247232472325,1.39852398523985,9.85239852398524,0.14760147601476,2.87084870848709,0.608856088560886,0.317343173431734,0.550239234449761,0.416974169741697,0.0885608856088561,0.361623616236162,0.273062730627306,0.343173431734317,0.0627306273062731,0.00738007380073801,0.191881918819188,0.151291512915129,0.00738007380073801,27.9335793357934,10.5540897097625,"Offense"
"swerve",1028,280,35,199,379,359,316,2644,39,899,147,66,612,103,29,106,72,85,11,27,5,44,35,2,7543,"20",3.67142857142857,0.125,0.710714285714286,1.35357142857143,1.12857142857143,1.28214285714286,9.44285714285714,0.139285714285714,3.21071428571429,0.525,0.235714285714286,0.525065963060686,0.367857142857143,0.103571428571429,0.378571428571429,0.257142857142857,0.303571428571429,0.0392857142857143,0.0178571428571429,0.157142857142857,0.125,0.00714285714285714,26.9392857142857,10.8635097493036,"Offense"
"Tantrew",1026,280,33,209,477,445,392,3224,49,781,150,81,612,150,41,128,74,75,8,48,8,49,39,1,7209,"20",3.66428571428571,0.117857142857143,0.746428571428571,1.70357142857143,1.4,1.58928571428571,11.5142857142857,0.175,2.78928571428571,0.535714285714286,0.289285714285714,0.438155136268344,0.535714285714286,0.146428571428571,0.457142857142857,0.264285714285714,0.267857142857143,0.0285714285714286,0.0285714285714286,0.175,0.139285714285714,0.00357142857142857,25.7464285714286,11.0112359550562,"Offense"
