player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst	
DAD.	2BP	213	80	-2	55	127	102	98	625	3	161	36	19	180	37	6	26	20	18	1	9	0	10	12	0	1976	
aaron	LAA	1184	280	17	474	288	169	155	1048	12	4007	367	99	612	59	12	51	33	30	5	25	1	173	151	3	7203	
Messi	DPS	275	80	13	58	129	115	104	722	10	201	31	26	180	39	8	32	23	39	6	8	0	8	6	2	1863	
Arbybear		1061	280	-32	431	272	157	148	658	8	4856	377	49	612	66	0	49	27	43	6	14	0	187	179	0	7092	
BALLDON'TLIE	MBM	1058	280	17	238	488	452	400	2960	49	746	183	82	612	147	29	94	59	96	11	48	5	64	57	1	7203	
Djinni		642	160	11	197	138	109	97	668	11	2093	166	45	342	27	6	30	13	34	5	7	0	52	55	5	4144	
Curry		786	260	-29	313	279	185	179	973	5	3755	284	43	567	71	8	64	33	39	1	20	1	129	104	5	6752	
Mr. Hat	HGW	1061	280	-40	282	596	557	512	3202	39	792	199	116	612	187	29	136	88	110	6	68	7	75	57	3	7416	
OldRoller		1226	280	13	415	277	195	173	1588	21	3647	348	80	612	65	22	69	47	43	5	22	2	153	154	5	7795	
#SelfySyntax	MIA	409	140	-1	99	204	184	168	1087	16	436	61	34	306	66	8	46	31	48	5	16	0	16	14	1	3935	
ez	MIA	1038	280	33	260	410	369	326	2214	40	1206	183	66	612	110	16	113	72	78	8	35	5	61	58	1	7236	
Spjork		1030	280	13	313	416	337	304	1732	26	1561	247	92	612	129	14	84	56	67	4	35	3	70	58	3	7795	
Altiger		1027	280	33	385	324	241	226	1659	12	2182	318	84	612	85	21	58	46	72	5	27	2	112	101	5	7236	
q42		1061	280	13	356	271	168	157	1051	9	4144	288	72	612	48	6	67	47	59	6	21	0	145	132	3	7389	
Jihadi		665	200	11	191	314	274	250	1810	23	708	164	50	432	88	15	70	46	64	4	30	1	52	47	2	5624	
DT	PKP	1337	280	33	462	251	209	175	1451	28	3977	363	94	612	45	12	72	41	46	6	21	6	169	150	6	7236	
TomatoFarmer		516	120	4	192	23	3	3	43	0	2659	158	35	252	0	1	2	1	0	0	0	0	76	70	0	2480	
mex	QUE	1388	280	6	520	198	133	114	808	18	4464	456	95	612	41	6	49	30	26	1	12	1	192	198	1	6742	
sun chips		811	240	-8	185	417	379	348	2748	29	594	125	64	522	109	31	101	59	81	9	37	1	37	30	3	5688	
thenewguy.	MIA	1269	280	25	465	263	168	156	1195	9	4443	384	93	612	53	9	44	34	41	3	11	3	151	146	5	6985	
Eashy		467	120	8	149	78	44	40	298	3	2403	130	27	252	8	2	17	14	11	1	5	0	60	40	0	2652	
grumpy		1000	280	18	269	393	365	327	1964	36	1295	201	68	612	119	14	105	70	89	9	18	2	61	54	1	6668	
okthen		1047	280	25	226	449	406	356	2746	47	1058	174	72	612	122	28	115	76	91	12	30	2	44	35	5	6985	
Ball-erina	PKP	960	280	25	207	469	437	395	2678	38	1026	166	66	612	146	22	114	82	111	17	33	1	54	50	5	6985	
Fender	SNI	809	240	-12	214	449	426	383	2824	37	720	151	58	540	137	26	117	64	92	9	31	1	52	51	1	6535	
Crippy		1213	280	-5	445	302	240	222	1315	15	3839	387	79	612	78	7	80	50	29	3	28	3	151	140	3	7298	
waterwheel		449	120	5	125	105	72	65	446	7	1768	106	38	270	21	3	22	15	22	2	6	0	46	44	1	3051	
mis		140	40	-8	57	32	18	18	99	0	612	43	12	90	5	1	2	1	4	0	3	0	18	15	0	1127	
Bamboozler		976	280	-5	261	424	351	321	2185	26	1638	192	91	612	113	22	110	65	82	9	32	1	58	47	3	7298	
gg!		861	280	-5	197	424	394	366	3009	26	796	147	58	612	101	35	111	74	118	9	48	3	42	34	3	7298	
Doris		542	120	-17	202	99	64	57	304	5	1764	172	45	252	25	2	16	9	19	2	6	0	71	62	1	3160	
pulpo		655	260	-46	189	567	498	469	2413	28	652	132	59	576	179	13	135	80	119	10	47	1	40	33	6	6964	
First	KCX	284	100	-2	84	156	134	125	615	6	317	63	21	198	47	3	45	28	23	3	13	0	16	15	2	2497	
ref		843	240	-19	281	293	201	187	1301	13	2774	227	68	522	60	11	58	39	53	5	24	1	104	88	4	6227	
omar		780	200	20	276	206	134	122	735	12	2701	233	53	450	51	8	38	23	33	3	14	1	110	95	2	5475	
d0pe	QUE	683	200	12	147	319	312	279	1883	31	613	116	53	432	86	11	84	56	76	7	26	0	31	27	2	5227	
ShinjukuGirl		649	200	-35	237	292	239	229	1526	9	1508	197	55	432	80	14	84	53	46	2	33	2	80	64	1	5717	
Zig!		492	131	-25	155	116	75	70	443	4	2177	142	19	297	27	3	22	16	25	0	10	1	66	68	1	3758	
Pro Boat		164	40	-8	47	36	24	21	118	2	563	37	15	90	8	0	10	3	6	0	5	1	14	14	0	1006	
FM		677	160	2	291	123	91	84	590	7	2358	246	36	360	28	4	31	20	29	2	7	1	112	107	0	4262	
Wanye		418	120	-22	136	162	145	133	868	11	1137	117	26	270	49	8	53	25	30	3	18	1	49	43	5	3429	
Frozen		62	20	-3	26	34	25	24	122	1	75	15	7	36	10	1	3	2	6	0	0	0	8	8	1	550	
grunt		553	120	6	197	124	81	69	442	11	1913	162	40	270	25	1	29	23	16	1	9	4	85	78	1	3059	
titanblue	HGW	-1	0	0	0	1	1	1	1	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	358	
Alphachurro	SNI	276	89	-20	102	104	61	56	252	5	1193	93	14	198	26	0	16	9	21	4	11	0	43	38	2	2694	
2P1S	DPS	71	20	1	18	22	22	19	150	3	51	13	7	54	7	2	11	6	5	0	3	0	1	1	0	627	
Raven		117	40	-4	34	42	28	28	209	0	433	33	12	90	7	2	10	9	11	0	1	0	10	11	2	1241	
Cheetosrule		123	40	-10	28	87	72	63	323	8	141	22	8	90	25	1	15	5	8	1	14	3	8	4	0	925	
Kamikaze		72	20	-4	23	26	16	12	88	3	221	15	3	36	4	1	1	1	1	0	2	0	5	3	1	556	
